Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	industry	Summary Quote
AGN	Allergan, Inc.	88.8	26360766979.2	n/a	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/agn
ALE	Allete, Inc.	50.91	2073880603.83	n/a	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/ale
AKP	Alliance California Municipal Income Fund Inc	12.32	105379563.52	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/akp
ADS	Alliance Data Systems Corporation	243.21	11854731037.38	n/a	2001	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/ads
AFB	Alliance National Municipal Income Fund Inc	12.74	366108462.72	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/afb
AYN	Alliance New York Municipal Income Fund Inc	11.91	57599868.51	n/a	2002	n/a	n/a	http://www.nasdaq.com/symbol/ayn
AOI	Alliance One International, Inc.	3.15	276068016	n/a	1997	Consumer Services	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/aoi
AWF	Alliance World Dollar Government Fund II	15.3	1316912218.2	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/awf
ACG	ALLIANCEBERNSTEIN INCOME FUND INC	7.13	1731960399.61	n/a	1987	n/a	n/a	http://www.nasdaq.com/symbol/acg
AB	Allianceberstein Holding L.P.	22.19	2042966374.96	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/ab
LNT	Alliant Energy Corporation	52.41	5814557692.29	n/a	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/lnt
ATK	Alliant Techsystems Inc.	111.86	3582263813.94	n/a	n/a	Capital Goods	Military/Government/Technical	http://www.nasdaq.com/symbol/atk
NCV	AllianzGI Convertible & Income Fund	9.72	746058823.56	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/ncv
NCZ	AllianzGI Convertible & Income Fund II	8.86	569511231.2	n/a	2003	n/a	n/a	http://www.nasdaq.com/symbol/ncz
NIE	AllianzGI Equity & Convertible Income Fund	19.26	429578680.14	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/nie
NGZ	AllianzGI Global Equity & Convertible Income Fund	16.8	117934706.4	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/ngz
NFJ	AllianzGI NFJ Dividend, Interest & Premium Strategy Fund	17.56	1659847147	n/a	2005	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/nfj
AWH	Allied World Assurance Company Holdings, AG	109.02	3680694646.92	n/a	2006	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/awh
ALSN	Allison Transmission Holdings, Inc.	23.99	4375190931.88	n/a	n/a	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/alsn
ALL	Allstate Corporation (The)	53.62	24388973996.24	n/a	1989	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/all
ALL^A	Allstate Corporation (The)	23.57	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^a
ALL^B	Allstate Corporation (The)	24.36	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^b
ALL^C	Allstate Corporation (The)	25.3	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/all^c
BSI	Alon Blue Square Israel Ltd.	4.0492	267062665.8084	n/a	1996	Consumer Services	Department/Specialty Retail Stores	http://www.nasdaq.com/symbol/bsi
ALJ	Alon USA Energy, Inc.	11.25	709926187.5	n/a	2005	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/alj
ALDW	Alon USA Partners, LP	12.03	751904678.01	n/a	n/a	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/aldw
ANR	Alpha Natural Resources, inc.	7.86	1736640228.84	n/a	2005	Energy	Coal Mining	http://www.nasdaq.com/symbol/anr
AGD	Alpine Global Dynamic Dividend Fund	4.93	124173177.01	n/a	2006	n/a	n/a	http://www.nasdaq.com/symbol/agd
AWP	Alpine Global Premier Properties Fund	7.48	642955136.12	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/awp
AOD	Alpine Total Dynamic Dividend Fund	4.14	915066241.02	n/a	2007	n/a	n/a	http://www.nasdaq.com/symbol/aod
RESI	Altisource Residential Corporation	26.91	1137648693.87	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/resi
MO	Altria Group	37.82	75640560114.2	n/a	n/a	Consumer Non-Durables	Farming/Seeds/Milling	http://www.nasdaq.com/symbol/mo
AWC	Alumina Ltd	4.04	2464598145.84	n/a	1997	Capital Goods	Metal Fabrications	http://www.nasdaq.com/symbol/awc
ACH	Aluminum Corporation of China Limited	9.16	4955372357.4	n/a	1993	Basic Industries	Aluminum	http://www.nasdaq.com/symbol/ach
AMBO	Ambow Education Holding Ltd.	0.9497	68606833.2404	n/a	2010	Consumer Services	Other Consumer Services	http://www.nasdaq.com/symbol/ambo
ACO	Amcol International Corporation	32.48	1052739648.8	n/a	n/a	Basic Industries	Mining & Quarrying of Nonmetallic Minerals (No Fuels)	http://www.nasdaq.com/symbol/aco
DOX	Amdocs Limited	39.5	6358828500	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/dox
AEE	Ameren Corporation	36.63	8887707998.73	n/a	n/a	Public Utilities	Power Generation	http://www.nasdaq.com/symbol/aee
AMRC	Ameresco, Inc.	10.23	466650288.72	n/a	2010	Basic Industries	Engineering & Construction	http://www.nasdaq.com/symbol/amrc
AMX	America Movil, S.A.B. de C.V.	21.31	82032845000	n/a	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/amx
AAT	American Assets Trust, Inc.	32.75	1324592679.5	n/a	1993	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aat
AXL	American Axle & Manufacturing Holdings, Inc.	17.79	1344301776.96	n/a	1999	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/axl
ACC	American Campus Communities Inc	34.39	3603429491.63	n/a	2004	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/acc
AEO	American Eagle Outfitters, Inc.	14.65	2823468466.95	n/a	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/aeo
AEP	American Electric Power Company, Inc.	46.74	22775952454.68	n/a	n/a	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/aep
AEL	American Equity Investment Life Holding Company	21.22	1373158337.84	n/a	2003	Finance	Life Insurance	http://www.nasdaq.com/symbol/ael
AXP	American Express Company	82.12	87972759738.4	n/a	n/a	Finance	Finance: Consumer Services	http://www.nasdaq.com/symbol/axp
AFA	American Financial Group, Inc.	22.21	0	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afa
AFG	American Financial Group, Inc.	56.18	4998246565.94	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afg
AFQ	American Financial Group, Inc.	25.75	0	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afq
AFW	American Financial Group, Inc.	24.21	0	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/afw
AMH	American Homes 4 Rent	16.05	2977135268.7	n/a	1976	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amh
AMH^A	American Homes 4 Rent	25.06	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amh^a
MRF	American Income Fund, Inc.	7.53	71265049.5	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/mrf
AIG	American International Group, Inc.	47.59	70068965509.13	n/a	n/a	Finance	Property-Casualty Insurers	http://www.nasdaq.com/symbol/aig
AIG/WS	American International Group, Inc.	19.68	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aig/ws
AMID	American Midstream Partners, LP	23.45	216273065.4	n/a	n/a	Public Utilities	Natural Gas Distribution	http://www.nasdaq.com/symbol/amid
XAA	American Municipal Income Portfolio	13.88	79896985.96	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/xaa
ARL	American Realty Investors, Inc.	5.81	66962510.09	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/arl
ARPI	American Residential Properties, Inc.	17.69	568288720.33	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/arpi
SLA	American Select Portfolio, Inc.	9.71	41086224.01	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/sla
AWR	American States Water Company	28.82	1115839762.18	n/a	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/awr
ASP	American Strategic Income Portfolio	9.76	41297790.56	n/a	1991	n/a	n/a	http://www.nasdaq.com/symbol/asp
BSP	American Strategic Income Portfolio II	8.14	16372535.52	n/a	1992	n/a	n/a	http://www.nasdaq.com/symbol/bsp
CSP	American Strategic Income Portfolio III	6.78	108383323.98	n/a	1993	n/a	n/a	http://www.nasdaq.com/symbol/csp
AMT	American Tower Corporation (REIT)	79.53	31385714984.91	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amt
AVD	American Vanguard Corporation	27.02	774400819.64	n/a	n/a	Basic Industries	Agricultural Chemicals	http://www.nasdaq.com/symbol/avd
AWK	American Water Works	43.49	7739660144.17	n/a	2008	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/awk
APU	AmeriGas Partners, L.P.	43.7	4056432354.3	n/a	1995	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/apu
AMP	AMERIPRISE FINANCIAL SERVICES, INC.	102.21	20222267102.22	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/amp
AMP^A	AMERIPRISE FINANCIAL SERVICES, INC.	26.06	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amp^a
ABC	AmerisourceBergen Corporation (Holding Co)	67.16	15507453404.88	n/a	n/a	Health Care	Other Pharmaceuticals	http://www.nasdaq.com/symbol/abc
ANFI	Amira Nature Foods Ltd	14.8	424330800	n/a	1999	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/anfi
AHS	AMN Healthcare Services Inc	13.72	631240187.2	n/a	2001	Health Care	Hospital/Nursing Management	http://www.nasdaq.com/symbol/ahs
AP	Ampco-Pittsburgh Corporation	18.36	190260016.56	n/a	n/a	Capital Goods	Fluid Controls	http://www.nasdaq.com/symbol/ap
APH	Amphenol Corporation	80.88	12801773103.36	n/a	1997	Capital Goods	Electrical Products	http://www.nasdaq.com/symbol/aph
AMRE	AmREIT, Inc.	17.19	337405956.03	n/a	1987	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amre
AXR	AMREP Corporation	7.6	54685450.4	n/a	n/a	Finance	Real Estate	http://www.nasdaq.com/symbol/axr
AME	AMTEK, Inc.	48.38	11841186666.9	n/a	n/a	Consumer Durables	Metal Fabrications	http://www.nasdaq.com/symbol/ame
AFSI^A	AmTrust Financial Services, Inc.	21.9482	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/afsi^a
APC	Anadarko Petroleum Corporation	92.02	46310623634.76	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/apc
AU	AngloGold Ashanti Limited	15.55	5976330178.25	n/a	1987	Basic Industries	Precious Metals	http://www.nasdaq.com/symbol/au
BUD	Anheuser-Busch Inbev SA	103.8	166702800000	n/a	n/a	Consumer Non-Durables	Beverages (Production/Distribution)	http://www.nasdaq.com/symbol/bud
AXE	Anixter International Inc.	85.03	2766950516.22	n/a	n/a	Consumer Non-Durables	Telecommunications Equipment	http://www.nasdaq.com/symbol/axe
ANN	ANN INC.	35.04	1605998691.84	n/a	1991	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/ann
NLY	Annaly Capital Management Inc	11.58	10969490727.36	n/a	1997	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/nly
NLY^A	Annaly Capital Management Inc	25.028	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^a
NLY^C	Annaly Capital Management Inc	24.28	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^c
NLY^D	Annaly Capital Management Inc	23.86	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/nly^d
BNNY	Annie&#39;s, Inc.	48	810683472	n/a	n/a	Consumer Non-Durables	Packaged Foods	http://www.nasdaq.com/symbol/bnny
AR	Antero Resources Corporation	55.04	14315904000	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/ar
ANH	Anworth Mortgage Asset  Corporation	4.58	654801152.72	n/a	1998	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/anh
ANH^A	Anworth Mortgage Asset  Corporation	24.35	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/anh^a
ANH^B	Anworth Mortgage Asset  Corporation	22.06	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/anh^b
AOL	AOL Inc.	43.12	3317214743.92	n/a	n/a	Technology	EDP Services	http://www.nasdaq.com/symbol/aol
AON	Aon plc	80.05	24098895121.7	n/a	n/a	Finance	Specialty Insurers	http://www.nasdaq.com/symbol/aon
APA	Apache Corporation	88.45	34444459219.9	n/a	n/a	Energy	Oil & Gas Production	http://www.nasdaq.com/symbol/apa
AIV	Apartment Investment and Management Company	27.52	4015620401.28	n/a	1994	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/aiv
AIV^Z	Apartment Investment and Management Company	25.2875	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aiv^z
ARI	Apollo Commercial Real Estate Finance	16.37	603782354.79	n/a	1996	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/ari
ARI^A	Apollo Commercial Real Estate Finance	25	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/ari^a
APO	Apollo Global Management, LLC	33.52	4753531536	n/a	n/a	Finance	Investment Managers	http://www.nasdaq.com/symbol/apo
AIB	Apollo Investment Corporation	21.23	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aib
AIY	Apollo Investment Corporation	21.68	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aiy
AMTG	Apollo Residential Mortgage, Inc.	14.92	477998127.36	n/a	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/amtg
AMTG^A	Apollo Residential Mortgage, Inc.	22.2	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/amtg^a
AFT	Apollo Senior Floating Rate Fund Inc.	18.17	282435043.27	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aft
AIF	Apollo Tactical Income Fund Inc.	17.43	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/aif
AIT	Applied Industrial Technologies, Inc.	47.41	2000531845.51	n/a	n/a	Consumer Durables	Industrial Specialties	http://www.nasdaq.com/symbol/ait
ATR	AptarGroup, Inc.	64.37	4238973380.65	n/a	n/a	Consumer Non-Durables	Plastic Products	http://www.nasdaq.com/symbol/atr
WTR	Aqua America, Inc.	25.64	4524523319.52	n/a	n/a	Public Utilities	Water Supply	http://www.nasdaq.com/symbol/wtr
ARSD	Arabian American Development Company	9.19	221613477.27	n/a	n/a	Energy	Integrated oil Companies	http://www.nasdaq.com/symbol/arsd
ABR	Arbor Realty Trust	6.57	322829925.75	n/a	2004	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/abr
ABR^A	Arbor Realty Trust	25.0399	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abr^a
ABR^B	Arbor Realty Trust	23.5	0	n/a	n/a	n/a	n/a	http://www.nasdaq.com/symbol/abr^b
ARC	ARC Document Solutions, Inc.	6.51	301520271.78	n/a	2004	Consumer Services	Professional Services	http://www.nasdaq.com/symbol/arc
MT	ArcelorMittal	16.18	25062820000	n/a	n/a	Basic Industries	Steel/Iron Ore	http://www.nasdaq.com/symbol/mt
